영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국_스크린수,전국_매출액,전국_관객수,서울_매출액,서울_관객수,장르,등급,영화구분,영화코드
마가렛트 여사의 숨길 수 없는 비밀,자비에 지아놀리,,그린나래미디어(주),그린나래미디어(주),2016-03-17,개봉영화,장편,프랑스,82,49340300,6701,29979800,3995,드라마,15세이상관람가,독립/예술영화,e
인필트레이터 : 잠입자들,브래드 퍼맨,,(주)메인타이틀픽쳐스,(주)리틀빅픽쳐스,2016-10-06,개봉영화,장편,미국,128,49829000,6701,20527000,2754,범죄,15세이상관람가,독립/예술영화,e
오늘부터 우리는!!,후쿠다 유이치,,(주)미디어캐슬,(주)미디어캐슬,2022-04-15,개봉영화,장편,일본,21,35193700,6699,25720200,4878,코미디,15세이상관람가,일반영화,e
썬다운,미셸 프랑코,,M&M 인터내셔널,M&M 인터내셔널,2022-08-31,개봉영화,장편,프랑스,45,60883899,6697,44694799,4752,미스터리,15세이상관람가,독립/예술영화,e
델마,요아킴 트리에,,그린나래미디어(주),그린나래미디어(주),2018-08-15,개봉영화,장편,노르웨이,37,59854600,6694,44328900,4720,멜로/로맨스,15세이상관람가,독립/예술영화,e
파이어스톰,원금린,,(주)드림웨스트픽쳐스,(주)인벤트스톤,2014-07-16,개봉영화,장편,중국,82,51336800,6682,16628000,2053,액션,청소년관람불가,일반영화,e
아들에게 가는 길,최낙권,리얼곤시네마,,"(주)에스와이코마드,글뫼 주식회사",2017-11-30,개봉영화,장편,한국,46,44440500,6668,17278000,2353,가족,전체관람가,독립/예술영화,e
탐엣더팜,자비에 돌란,,(주)엣나인필름,(주)엣나인필름,2014-05-22,개봉영화,장편,캐나다,26,52670000,6668,41834300,5036,드라마,15세이상관람가,독립/예술영화,e
글로리아,세바스찬 렐리오,,판씨네마(주),판씨네마(주),2013-12-05,개봉영화,장편,칠레,13,49687400,6664,44382400,5727,드라마,청소년관람불가,독립/예술영화,e
샷건 웨딩,제이슨 무어,,"(주)제이앤씨미디어그룹,(유)조이앤시네마","와이드 릴리즈(주),(주)제이앤씨미디어그룹",2023-03-29,개봉영화,장편,미국,126,51048300,6661,30086500,4022,액션,15세이상관람가,일반영화,e
판타스틱 우먼,세바스찬 렐리오,,찬란,아이 엠,2018-04-19,개봉영화,장편,칠레,45,54845600,6651,39991500,4604,드라마,15세이상관람가,독립/예술영화,e
고양이들의 아파트,정재은,영화사 못,,"(주)엣나인필름,(주)메타플레이",2022-03-17,개봉영화,장편,한국,75,58285970,6646,41803870,4616,다큐멘터리,전체관람가,독립/예술영화,e
