,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,showRange,yearWeekTime,boxofficeType
0,1,1,0,OLD,20030410,실미도,2003-12-24,1019869500,45.0,651532000,176.9,2374524500,161201,103065,177.3,373849,50,882,20040102~20040104,200401,주말 박스오피스
1,2,2,0,OLD,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,623744000,27.5,328630000,111.4,2673132000,100962,53390,112.2,430356,44,578,20040102~20040104,200401,주말 박스오피스
2,3,3,0,NEW,20030420,동해물과 백두산이,2003-12-31,331879000,14.6,331879000,100.0,564340000,52163,52163,100.0,88050,20,434,20040102~20040104,200401,주말 박스오피스
3,4,4,-1,OLD,20030404,러브 액츄얼리,2003-12-05,107668500,4.7,-6645500,-5.8,1082576000,16369,-1428,-8.0,165883,11,158,20040102~20040104,200401,주말 박스오피스
4,5,5,0,NEW,20030426,더 캣,2003-12-31,75431000,3.3,75431000,100.0,108789000,12442,12442,100.0,17726,11,181,20040102~20040104,200401,주말 박스오피스
5,6,7,-2,OLD,20030350,올드보이,2003-11-21,29951000,1.3,-7040000,-19.0,1848427500,4638,-1202,-20.6,286685,4,46,20040102~20040104,200401,주말 박스오피스
6,7,8,-4,OLD,20030408,해피 에로 크리스마스,2003-12-17,13524000,0.6,-40938000,-75.2,406472000,2019,-6375,-75.9,63676,6,66,20040102~20040104,200401,주말 박스오피스
0,1,1,0,OLD,20030410,실미도,2003-12-24,913566500,42.7,-106303000,-10.4,4117849500,143724,-17477,-10.8,647712,44,788,20040109~20040111,200402,주말 박스오피스
1,2,2,0,NEW,20030430,라스트 사무라이,2004-01-09,475813500,22.2,475813500,100.0,558264500,74903,74903,100.0,88264,35,560,20040109~20040111,200402,주말 박스오피스
2,3,3,-1,OLD,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,389379000,18.2,-234365000,-37.6,3409265500,62437,-38525,-38.2,548189,34,443,20040109~20040111,200402,주말 박스오피스
3,4,4,-1,OLD,20030420,동해물과 백두산이,2003-12-31,196849500,9.2,-135029500,-40.7,957631000,31113,-21050,-40.4,150056,16,352,20040109~20040111,200402,주말 박스오피스
4,5,5,-1,OLD,20030404,러브 액츄얼리,2003-12-05,54873000,2.6,-52795500,-49.0,1221941000,8389,-7980,-48.8,187174,6,71,20040109~20040111,200402,주말 박스오피스
5,6,7,-2,OLD,20030426,더 캣,2003-12-31,40500000,1.9,-34931000,-46.3,185512000,6784,-5658,-45.5,30403,11,112,20040109~20040111,200402,주말 박스오피스
6,7,8,-1,OLD,20030350,올드보이,2003-11-21,23706000,1.1,-6245000,-20.9,1897548500,3681,-957,-20.6,294319,5,51,20040109~20040111,200402,주말 박스오피스
7,8,9,0,NEW,20030433,말죽거리 잔혹사,2004-01-16,2175500,0.1,2175500,100.0,2175500,284,284,100.0,284,1,1,20040109~20040111,200402,주말 박스오피스
0,1,1,8,OLD,20030433,말죽거리 잔혹사,2004-01-16,864380000,32.2,862204500,39632.5,1059303500,137968,137684,48480.3,168998,40,706,20040116~20040118,200403,주말 박스오피스
1,2,2,-1,OLD,20030410,실미도,2003-12-24,619406000,23.1,-294160500,-32.2,5421977500,97562,-46162,-32.1,852679,35,500,20040116~20040118,200403,주말 박스오피스
2,3,3,0,NEW,20030435,내사랑 싸가지,2004-01-16,406478500,15.1,406478500,100.0,472339000,66778,66778,100.0,77531,21,404,20040116~20040118,200403,주말 박스오피스
3,4,4,-2,OLD,20030430,라스트 사무라이,2004-01-09,205696500,7.7,-270117000,-56.8,1056259500,32467,-42436,-56.7,166420,19,279,20040116~20040118,200403,주말 박스오피스
4,5,5,0,NEW,20040442,피터 팬,2004-01-16,134552500,5.0,134552500,100.0,155524500,22460,22460,100.0,25823,15,211,20040116~20040118,200403,주말 박스오피스
5,6,6,0,NEW,20040441,빙우,2004-01-16,140097000,5.2,140097000,100.0,155315000,21655,21655,100.0,24043,18,315,20040116~20040118,200403,주말 박스오피스
6,7,7,-4,OLD,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,132716000,4.9,-256663000,-65.9,3760875500,21616,-40821,-65.4,604858,20,170,20040116~20040118,200403,주말 박스오피스
7,8,9,0,NEW,20030436,브라더 베어,2004-01-16,48430000,1.8,48430000,100.0,53901500,7309,7309,100.0,8150,11,89,20040116~20040118,200403,주말 박스오피스
8,9,10,-5,OLD,20030404,러브 액츄얼리,2003-12-05,18934000,0.7,-35939000,-65.5,1282316500,2866,-5523,-65.8,196311,2,30,20040116~20040118,200403,주말 박스오피스
9,10,11,-7,OLD,20030420,동해물과 백두산이,2003-12-31,2606500,0.1,-194243000,-98.7,1041198500,420,-30693,-98.7,163084,1,7,20040116~20040118,200403,주말 박스오피스
0,1,1,0,OLD,20030433,말죽거리 잔혹사,2004-01-16,802056500,26.5,-62323500,-7.2,2654544000,126415,-11553,-8.4,419383,36,697,20040123~20040125,200404,주말 박스오피스
1,2,2,0,OLD,20030410,실미도,2003-12-24,764281500,25.2,144875500,23.4,6922471500,120382,22820,23.4,1087655,35,535,20040123~20040125,200404,주말 박스오피스
2,3,3,0,OLD,20030435,내사랑 싸가지,2004-01-16,432669500,14.3,26191000,6.4,1308418500,69317,2539,3.8,210847,20,434,20040123~20040125,200404,주말 박스오피스
3,4,4,0,NEW,20040443,페이첵,2004-01-22,274934500,9.1,274934500,100.0,446261500,43448,43448,100.0,70078,17,335,20040123~20040125,200404,주말 박스오피스
4,5,5,-1,OLD,20030430,라스트 사무라이,2004-01-09,220054500,7.3,14358000,7.0,1499185000,34505,2038,6.3,235654,19,228,20040123~20040125,200404,주말 박스오피스
5,6,6,-1,OLD,20040442,피터 팬,2004-01-16,179474500,5.9,44922000,33.4,484450000,29665,7205,32.1,79806,14,200,20040123~20040125,200404,주말 박스오피스
6,7,7,0,OLD,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,110392500,3.6,-22323500,-16.8,4001679500,17897,-3719,-17.2,643691,12,114,20040123~20040125,200404,주말 박스오피스
7,8,9,-3,OLD,20040441,빙우,2004-01-16,88572500,2.9,-51524500,-36.8,322899500,13464,-8191,-37.8,49463,15,146,20040123~20040125,200404,주말 박스오피스
8,9,10,-1,OLD,20030436,브라더 베어,2004-01-16,27123000,0.9,-21307000,-44.0,104735000,4183,-3126,-42.8,15887,4,42,20040123~20040125,200404,주말 박스오피스
9,10,11,-1,OLD,20030404,러브 액츄얼리,2003-12-05,21335500,0.7,2401500,12.7,1328518500,3258,392,13.7,203352,2,29,20040123~20040125,200404,주말 박스오피스
0,1,1,1,OLD,20030410,실미도,2003-12-24,573597500,27.9,-190684000,-24.9,7970489000,90473,-29909,-24.8,1252806,30,473,20040130~20040201,200405,주말 박스오피스
1,2,2,-1,OLD,20030433,말죽거리 잔혹사,2004-01-16,390741000,19.0,-411315500,-51.3,3400311000,61512,-64903,-51.3,536907,24,448,20040130~20040201,200405,주말 박스오피스
2,3,3,0,OLD,20030435,내사랑 싸가지,2004-01-16,209142500,10.2,-223527000,-51.7,1740330500,33911,-35406,-51.1,280644,16,381,20040130~20040201,200405,주말 박스오피스
3,4,4,0,NEW,20030434,안녕! 유에프오,2004-01-30,143698500,7.0,143698500,100.0,173498500,23102,23102,100.0,27937,14,323,20040130~20040201,200405,주말 박스오피스
4,5,5,0,NEW,20030439,그녀를 모르면 간첩,2004-01-30,127502000,6.2,127502000,100.0,146877500,20716,20716,100.0,23907,16,361,20040130~20040201,200405,주말 박스오피스
5,6,6,0,OLD,20040442,피터 팬,2004-01-16,110122500,5.4,-69352000,-38.6,692506500,18811,-10854,-36.6,114950,12,152,20040130~20040201,200405,주말 박스오피스
6,7,7,-3,OLD,20040443,페이첵,2004-01-22,120668500,5.9,-154266000,-56.1,706272500,18760,-24688,-56.8,110882,14,193,20040130~20040201,200405,주말 박스오피스
7,8,8,-3,OLD,20030430,라스트 사무라이,2004-01-09,104460000,5.1,-115594500,-52.5,1743675000,16463,-18042,-52.3,274240,12,150,20040130~20040201,200405,주말 박스오피스
8,9,9,0,NEW,20030437,런어웨이,2004-01-30,76292500,3.7,76292500,100.0,92187500,12003,12003,100.0,14532,11,147,20040130~20040201,200405,주말 박스오피스
9,10,10,-3,OLD,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,72474500,3.5,-37918000,-34.3,4164453000,11596,-6301,-35.2,669875,8,62,20040130~20040201,200405,주말 박스오피스
0,1,1,0,NEW,20030371,태극기 휘날리며,2004-02-05,1875451500,66.4,1875451500,100.0,2535930000,300717,300717,100.0,408103,104,1454,20040206~20040208,200406,주말 박스오피스
1,2,2,-1,OLD,20030410,실미도,2003-12-24,461276000,16.3,-112321500,-19.6,8851143000,72683,-17790,-19.7,1391947,34,534,20040206~20040208,200406,주말 박스오피스
2,3,3,-1,OLD,20030433,말죽거리 잔혹사,2004-01-16,155115500,5.5,-235625500,-60.3,3719824000,24167,-37345,-60.7,586784,23,396,20040206~20040208,200406,주말 박스오피스
3,4,4,2,OLD,20040442,피터 팬,2004-01-16,75026500,2.7,-35096000,-31.9,818847500,12692,-6119,-32.5,136429,14,151,20040206~20040208,200406,주말 박스오피스
4,5,5,5,OLD,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,50214000,1.8,-22260500,-30.7,4271859000,7950,-3646,-31.4,687019,6,56,20040206~20040208,200406,주말 박스오피스
5,6,6,2,OLD,20030430,라스트 사무라이,2004-01-09,46714000,1.7,-57746000,-55.3,1856928000,7159,-9304,-56.5,291918,13,121,20040206~20040208,200406,주말 박스오피스
6,7,7,0,NEW,20030206,베이직,2004-02-06,41874000,1.5,41874000,100.0,53605500,6511,6511,100.0,8392,11,188,20040206~20040208,200406,주말 박스오피스
7,8,8,-1,OLD,20040443,페이첵,2004-01-22,40949500,1.4,-79719000,-66.1,803244000,6225,-12535,-66.8,125875,11,109,20040206~20040208,200406,주말 박스오피스
8,9,9,-6,OLD,20030435,내사랑 싸가지,2004-01-16,18424500,0.7,-190718000,-91.2,1828895000,3064,-30847,-91.0,294918,8,70,20040206~20040208,200406,주말 박스오피스
9,10,10,-1,OLD,20030437,런어웨이,2004-01-30,17550500,0.6,-58742000,-77.0,143946000,2660,-9343,-77.8,22524,2,23,20040206~20040208,200406,주말 박스오피스
0,1,1,0,OLD,20030371,태극기 휘날리며,2004-02-05,2019140000,72.6,143688500,7.7,6272019000,321756,21039,7.0,1005222,115,1701,20040213~20040215,200407,주말 박스오피스
1,2,2,0,OLD,20030410,실미도,2003-12-24,325959500,11.7,-135316500,-29.3,9460375500,51154,-21529,-29.6,1488044,30,499,20040213~20040215,200407,주말 박스오피스
2,3,3,0,NEW,20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,204825500,7.4,204825500,100.0,234276500,32245,32245,100.0,37061,20,336,20040213~20040215,200407,주말 박스오피스
3,4,5,0,NEW,20040460,열두명의 웬수들 ,2004-02-13,38366500,1.4,38366500,100.0,44586500,6165,6165,100.0,7159,12,168,20040213~20040215,200407,주말 박스오피스
4,5,6,-3,OLD,20030433,말죽거리 잔혹사,2004-01-16,30620500,1.1,-124495000,-80.3,3811564000,4635,-19532,-80.8,600978,10,106,20040213~20040215,200407,주말 박스오피스
5,6,7,0,NEW,20040459,스파이 키드 3D,2004-02-13,17641000,0.6,17641000,100.0,18504500,2886,2886,100.0,3030,3,38,20040213~20040215,200407,주말 박스오피스
6,7,8,0,NEW,20040451,머나먼 사랑,2004-02-13,15482500,0.6,15482500,100.0,16772500,2343,2343,100.0,2533,11,107,20040213~20040215,200407,주말 박스오피스
7,8,9,0,NEW,20040463,마법경찰 갈갈이와 옥동자,2004-02-13,12935500,0.5,12935500,100.0,13518000,2132,2132,100.0,2229,13,117,20040213~20040215,200407,주말 박스오피스
8,9,10,2,OLD,20030440,자토이치,2004-01-30,9697000,0.3,-4043000,-29.4,144138000,1508,-500,-24.9,22338,3,33,20040213~20040215,200407,주말 박스오피스
9,10,11,-3,OLD,20040443,페이첵,2004-01-22,8231500,0.3,-32718000,-79.9,832432500,1192,-5033,-80.9,130266,1,14,20040213~20040215,200407,주말 박스오피스
0,1,1,0,OLD,20030371,태극기 휘날리며,2004-02-05,1466778000,52.8,-552362000,-27.4,9028471000,232865,-88891,-27.6,1444705,82,1259,20040220~20040222,200408,주말 박스오피스
1,2,2,0,NEW,20030413,목포는 항구다,2004-02-20,361075000,13.0,361075000,100.0,422073000,58007,58007,100.0,68018,22,469,20040220~20040222,200408,주말 박스오피스
2,3,3,9,OLD,20040446,그녀를 믿지 마세요,2004-02-20,347694500,12.5,341267500,5309.9,412631000,56066,55119,5820.4,66705,24,486,20040220~20040222,200408,주말 박스오피스
3,4,4,-2,OLD,20030410,실미도,2003-12-24,265502500,9.6,-60457000,-18.5,9938143500,42065,-9089,-17.8,1563968,24,400,20040220~20040222,200408,주말 박스오피스
4,5,5,0,NEW,20040461,콜드 마운틴,2004-02-20,106372000,3.8,106372000,100.0,122344500,16944,16944,100.0,19601,17,272,20040220~20040222,200408,주말 박스오피스
5,6,6,-3,OLD,20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,93676000,3.4,-111149500,-54.3,481764000,14142,-18103,-56.1,75307,13,147,20040220~20040222,200408,주말 박스오피스
6,7,7,0,NEW,20040476,사랑도 통역이 되나요?,2004-02-20,78514000,2.8,78514000,100.0,91494000,12060,12060,100.0,14163,15,271,20040220~20040222,200408,주말 박스오피스
7,8,9,-4,OLD,20040460,열두명의 웬수들 ,2004-02-13,9769500,0.4,-28597000,-74.5,80004000,1423,-4742,-76.9,12618,3,20,20040220~20040222,200408,주말 박스오피스
8,9,10,-3,OLD,20040459,스파이 키드 3D,2004-02-13,6945000,0.3,-10696000,-60.6,34331500,1124,-1762,-61.1,5663,1,12,20040220~20040222,200408,주말 박스오피스
9,10,11,-5,OLD,20030433,말죽거리 잔혹사,2004-01-16,4062000,0.1,-26558500,-86.7,3834994000,649,-3986,-86.0,604625,2,13,20040220~20040222,200408,주말 박스오피스
0,1,1,0,OLD,20030371,태극기 휘날리며,2004-02-05,1320705000,50.1,-146073000,-10.0,11334339000,209631,-23234,-10.0,1812031,74,1224,20040227~20040229,200409,주말 박스오피스
1,2,2,0,OLD,20030413,목포는 항구다,2004-02-20,375782000,14.3,14707000,4.1,1101337000,60245,2238,3.9,177250,25,506,20040227~20040229,200409,주말 박스오피스
2,3,3,0,OLD,20040446,그녀를 믿지 마세요,2004-02-20,339392500,12.9,-8302000,-2.4,1028662000,54922,-1144,-2.0,166713,25,494,20040227~20040229,200409,주말 박스오피스
3,4,4,0,OLD,20030410,실미도,2003-12-24,237308500,9.0,-28194000,-10.6,10369675000,37410,-4655,-11.1,1632509,26,425,20040227~20040229,200409,주말 박스오피스
4,5,5,0,NEW,20040448,타임라인,2004-02-27,77261000,2.9,77261000,100.0,90901500,12167,12167,100.0,14412,20,298,20040227~20040229,200409,주말 박스오피스
5,6,6,0,NEW,20040447,스쿨 오브 락,2004-02-27,63926500,2.4,63926500,100.0,75905000,10375,10375,100.0,12349,19,238,20040227~20040229,200409,주말 박스오피스
6,7,7,-1,OLD,20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,56726500,2.2,-36949500,-39.4,629932000,8488,-5654,-40.0,97680,3,46,20040227~20040229,200409,주말 박스오피스
7,8,8,-3,OLD,20040461,콜드 마운틴,2004-02-20,53216500,2.0,-53155500,-50.0,249122000,8287,-8657,-51.1,39676,10,98,20040227~20040229,200409,주말 박스오피스
8,9,9,0,NEW,20040464,8명의 여인들,2004-02-27,38500500,1.5,38500500,100.0,45975500,5945,5945,100.0,7205,10,123,20040227~20040229,200409,주말 박스오피스
9,10,11,-4,OLD,20040476,사랑도 통역이 되나요?,2004-02-20,22954500,0.9,-55559500,-70.8,163676000,3400,-8660,-71.8,25153,4,44,20040227~20040229,200409,주말 박스오피스
0,1,1,0,OLD,20030371,태극기 휘날리며,2004-02-05,735032500,39.2,-585672500,-44.3,12850942000,114203,-95428,-45.5,2049499,64,958,20040305~20040307,200410,주말 박스오피스
1,2,2,0,OLD,20030413,목포는 항구다,2004-02-20,311081500,16.6,-64700500,-17.2,1703205000,48937,-11308,-18.8,272192,23,471,20040305~20040307,200410,주말 박스오피스
2,3,3,0,OLD,20040446,그녀를 믿지 마세요,2004-02-20,207345500,11.1,-132047000,-38.9,1462110000,32648,-22274,-40.6,235277,22,415,20040305~20040307,200410,주말 박스오피스
3,4,4,0,NEW,20040505,사마리아,2004-03-05,142171500,7.6,142171500,100.0,161991500,22310,22310,100.0,25569,23,525,20040305~20040307,200410,주말 박스오피스
4,5,5,-1,OLD,20030410,실미도,2003-12-24,117760500,6.3,-119548000,-50.4,10635198000,18317,-19093,-51.0,1674037,22,330,20040305~20040307,200410,주말 박스오피스
5,6,6,0,NEW,20040462,빅 피쉬,2004-03-05,111419000,5.9,111419000,100.0,122520000,17207,17207,100.0,19014,14,257,20040305~20040307,200410,주말 박스오피스
6,7,7,0,NEW,20040479,휴먼 스테인,2004-03-05,67411000,3.6,67411000,100.0,76406500,10417,10417,100.0,11901,14,231,20040305~20040307,200410,주말 박스오피스
7,8,8,0,NEW,20040465,러브 미 이프 유 대어,2004-03-05,42051000,2.2,42051000,100.0,49718000,6486,6486,100.0,7709,12,194,20040305~20040307,200410,주말 박스오피스
8,9,9,0,NEW,20030316,반지의 제왕 : 왕의 귀환,2003-12-17,34811000,1.9,34811000,100.0,4334398500,6118,6118,100.0,697547,16,118,20040305~20040307,200410,주말 박스오피스
9,10,10,-3,OLD,20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,39275000,2.1,-17451500,-30.8,718708500,5806,-2682,-31.6,110789,2,31,20040305~20040307,200410,주말 박스오피스
0,1,1,0,OLD,20030371,태극기 휘날리며,2004-02-05,547729500,29.0,-187303000,-25.5,13702748000,84831,-29372,-25.7,2182068,50,757,20040312~20040314,200411,주말 박스오피스
1,2,2,0,NEW,20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,330020500,17.5,330020500,100.0,367639000,51886,51886,100.0,57954,28,541,20040312~20040314,200411,주말 박스오피스
2,3,3,0,NEW,20040456,어깨동무,2004-03-12,247833500,13.1,247833500,100.0,271735000,38910,38910,100.0,42808,26,527,20040312~20040314,200411,주말 박스오피스
3,4,4,-2,OLD,20030413,목포는 항구다,2004-02-20,233517500,12.4,-77564000,-24.9,2092424500,36663,-12274,-25.1,333465,21,428,20040312~20040314,200411,주말 박스오피스
4,5,5,-2,OLD,20040446,그녀를 믿지 마세요,2004-02-20,133431000,7.1,-73914500,-35.6,1677501000,20969,-11679,-35.8,269204,20,336,20040312~20040314,200411,주말 박스오피스
5,6,6,0,OLD,20040462,빅 피쉬,2004-03-05,89668500,4.7,-21750500,-19.5,272000500,13528,-3679,-21.4,41624,10,130,20040312~20040314,200411,주말 박스오피스
6,7,7,0,NEW,20040512,헌티드,2004-03-12,83161000,4.4,83161000,100.0,95926000,13163,13163,100.0,15214,15,308,20040312~20040314,200411,주말 박스오피스
7,8,8,-3,OLD,20030410,실미도,2003-12-24,79229500,4.2,-38531000,-32.7,10774134000,12319,-5998,-32.7,1695786,20,271,20040312~20040314,200411,주말 박스오피스
8,9,9,-5,OLD,20040505,사마리아,2004-03-05,38366000,2.0,-103805500,-73.0,264384000,5883,-16427,-73.6,41580,18,196,20040312~20040314,200411,주말 박스오피스
9,10,10,0,OLD,20040467,사랑할 때 버려야 할 아까운 것들,2004-02-13,38018000,2.0,-1257000,-3.2,790557000,5505,-301,-5.2,121364,3,35,20040312~20040314,200411,주말 박스오피스
0,1,1,0,OLD,20030371,태극기 휘날리며,2004-02-05,431118000,26.7,-116611500,-21.3,14381342500,66987,-17844,-21.0,2288177,42,621,20040319~20040321,200412,주말 박스오피스
1,2,2,0,OLD,20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,270755500,16.8,-59265000,-18.0,785917500,42002,-9884,-19.0,123115,23,486,20040319~20040321,200412,주말 박스오피스
2,3,3,1,OLD,20030413,목포는 항구다,2004-02-20,192254500,11.9,-41263000,-17.7,2399374000,30349,-6314,-17.2,382022,20,422,20040319~20040321,200412,주말 박스오피스
3,4,4,-1,OLD,20040456,어깨동무,2004-03-12,183586500,11.4,-64247000,-25.9,558183000,29198,-9712,-25.0,88332,25,466,20040319~20040321,200412,주말 박스오피스
4,5,5,0,NEW,20040509,모나리자 스마일,2004-03-19,116182500,7.2,116182500,100.0,133136000,18066,18066,100.0,20787,18,345,20040319~20040321,200412,주말 박스오피스
5,6,6,0,NEW,20040519,히달고,2004-03-19,99186000,6.1,99186000,100.0,110006500,15477,15477,100.0,17268,15,262,20040319~20040321,200412,주말 박스오피스
6,7,7,-2,OLD,20040446,그녀를 믿지 마세요,2004-02-20,63576500,3.9,-69854500,-52.4,1791543000,10235,-10734,-51.2,287380,14,200,20040319~20040321,200412,주말 박스오피스
7,8,8,-2,OLD,20040462,빅 피쉬,2004-03-05,54598500,3.4,-35070000,-39.1,365774000,8184,-5344,-39.5,55686,4,57,20040319~20040321,200412,주말 박스오피스
8,9,9,0,NEW,20040513,내 생애 최고의 데이트,2004-03-19,53487000,3.3,53487000,100.0,59790000,8020,8020,100.0,9042,7,140,20040319~20040321,200412,주말 박스오피스
9,10,10,-2,OLD,20030410,실미도,2003-12-24,44621000,2.8,-34608500,-43.7,10858321500,6959,-5360,-43.5,1708985,14,160,20040319~20040321,200412,주말 박스오피스
0,1,1,0,NEW,20040482,맹부삼천지교,2004-03-26,368103000,24.3,368103000,100.0,405338000,58301,58301,100.0,64424,29,529,20040326~20040328,200413,주말 박스오피스
1,2,2,-1,OLD,20030371,태극기 휘날리며,2004-02-05,272996000,18.0,-158122000,-36.7,14809241000,42903,-24084,-36.0,2356315,35,526,20040326~20040328,200413,주말 박스오피스
2,3,3,0,NEW,20040496,아홉살 인생,2004-03-26,184843000,12.2,184843000,100.0,198481500,29757,29757,100.0,31999,27,510,20040326~20040328,200413,주말 박스오피스
3,4,4,-2,OLD,20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,161090000,10.6,-109665500,-40.5,1062406000,25346,-16656,-39.7,166587,25,476,20040326~20040328,200413,주말 박스오피스
4,5,5,-2,OLD,20030413,목포는 항구다,2004-02-20,120745500,8.0,-71509000,-37.2,2605661000,19199,-11150,-36.7,414799,21,411,20040326~20040328,200413,주말 박스오피스
5,6,6,-2,OLD,20040456,어깨동무,2004-03-12,90626000,6.0,-92960500,-50.6,722932000,14729,-14469,-49.6,114906,21,388,20040326~20040328,200413,주말 박스오피스
6,7,7,0,NEW,20040506,허니 ,2004-03-26,85797500,5.7,85797500,100.0,99903000,12992,12992,100.0,15229,13,267,20040326~20040328,200413,주말 박스오피스
7,8,8,-3,OLD,20040509,모나리자 스마일,2004-03-19,41350500,2.7,-74832000,-64.4,224228000,6367,-11699,-64.8,34941,15,161,20040326~20040328,200413,주말 박스오피스
8,9,9,-1,OLD,20040462,빅 피쉬,2004-03-05,41743000,2.8,-12855500,-23.5,435353000,6212,-1972,-24.1,66031,3,53,20040326~20040328,200413,주말 박스오피스
9,10,10,-4,OLD,20040519,히달고,2004-03-19,31234000,2.1,-67952000,-68.5,178098000,4892,-10585,-68.4,27991,14,143,20040326~20040328,200413,주말 박스오피스
0,1,1,0,NEW,20040525,패션 오브 크라이스트,2004-04-02,709260500,31.9,709260500,100.0,788400000,111772,111772,100.0,124330,47,732,20040402~20040404,200414,주말 박스오피스
1,2,2,0,NEW,20040481,어린 신부,2004-04-02,627337000,28.2,627337000,100.0,698153500,101277,101277,100.0,112803,38,617,20040402~20040404,200414,주말 박스오피스
2,3,3,-2,OLD,20040482,맹부삼천지교,2004-03-26,234300000,10.5,-133803000,-36.3,805787000,37434,-20867,-35.8,128247,26,508,20040402~20040404,200414,주말 박스오피스
3,4,4,-2,OLD,20030371,태극기 휘날리며,2004-02-05,194789000,8.8,-78207000,-28.6,15115449500,30649,-12254,-28.6,2405882,26,379,20040402~20040404,200414,주말 박스오피스
4,5,5,0,NEW,20040486,마지막 늑대,2004-04-01,134375000,6.0,134375000,100.0,152633000,21081,21081,100.0,24045,26,512,20040402~20040404,200414,주말 박스오피스
5,6,6,-3,OLD,20040496,아홉살 인생,2004-03-26,102835000,4.6,-82008000,-44.4,367189000,16751,-13006,-43.7,59367,27,354,20040402~20040404,200414,주말 박스오피스
6,7,7,0,NEW,20040522,폴리와 함께,2004-04-02,77617000,3.5,77617000,100.0,90136000,11817,11817,100.0,13793,25,346,20040402~20040404,200414,주말 박스오피스
7,8,8,0,NEW,20040528,고티카,2004-04-02,63121500,2.8,63121500,100.0,71092500,9758,9758,100.0,11047,16,279,20040402~20040404,200414,주말 박스오피스
8,9,9,-5,OLD,20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,25448000,1.1,-135642000,-84.2,1141231000,3904,-21442,-84.6,178900,7,92,20040402~20040404,200414,주말 박스오피스
9,10,10,-1,OLD,20040462,빅 피쉬,2004-03-05,14275500,0.6,-27467500,-65.8,467296500,2186,-4026,-64.8,70853,2,28,20040402~20040404,200414,주말 박스오피스
0,1,1,0,OLD,20040525,패션 오브 크라이스트,2004-04-02,695598500,34.6,-13662000,-1.9,2193546000,110790,-982,-0.9,348864,52,748,20040409~20040411,200415,주말 박스오피스
1,2,2,0,OLD,20040481,어린 신부,2004-04-02,615290500,30.6,-12046500,-1.9,1845451500,99634,-1643,-1.6,298078,36,684,20040409~20040411,200415,주말 박스오피스
2,3,3,1,OLD,20030371,태극기 휘날리며,2004-02-05,111510500,5.6,-83278500,-42.8,15368927500,25313,-5336,-17.4,2454739,28,335,20040409~20040411,200415,주말 박스오피스
3,4,4,0,NEW,20040514,바람의 전설,2004-04-09,147065000,7.3,147065000,100.0,159205000,22951,22951,100.0,24938,23,410,20040409~20040411,200415,주말 박스오피스
4,5,5,-2,OLD,20040482,맹부삼천지교,2004-03-26,124338500,6.2,-109961500,-46.9,1088297000,20016,-17418,-46.5,173574,24,442,20040409~20040411,200415,주말 박스오피스
5,6,6,0,NEW,20040499,저지 걸,2004-04-09,123415000,6.1,123415000,100.0,140687000,19177,19177,100.0,21983,20,402,20040409~20040411,200415,주말 박스오피스
6,7,7,-1,OLD,20040496,아홉살 인생,2004-03-26,48570000,2.4,-54265000,-52.8,492547000,7925,-8826,-52.7,79738,19,194,20040409~20040411,200415,주말 박스오피스
7,8,8,-3,OLD,20040486,마지막 늑대,2004-04-01,31942500,1.6,-102432500,-76.2,272413500,5076,-16005,-75.9,42850,12,148,20040409~20040411,200415,주말 박스오피스
8,9,9,-2,OLD,20040522,폴리와 함께,2004-04-02,32006500,1.6,-45610500,-58.8,177086000,4653,-7164,-60.6,26728,9,94,20040409~20040411,200415,주말 박스오피스
9,10,10,0,NEW,20040523,배틀로얄 2 - 레퀴엠,2004-04-09,28452000,1.4,28452000,100.0,31082000,4540,4540,100.0,4972,14,176,20040409~20040411,200415,주말 박스오피스
0,1,1,0,NEW,20040487,범죄의 재구성,2004-04-15,972925000,29.4,972925000,100.0,1447803000,149015,149015,100.0,222856,67,1127,20040416~20040418,200416,주말 박스오피스
1,2,2,0,OLD,20040481,어린 신부,2004-04-02,771243000,23.3,155952500,25.3,3503736500,122309,22675,22.8,560454,70,1161,20040416~20040418,200416,주말 박스오피스
2,3,3,-2,OLD,20040525,패션 오브 크라이스트,2004-04-02,685091500,20.7,-10507000,-1.5,3769190000,106067,-4723,-4.3,595407,62,974,20040416~20040418,200416,주말 박스오피스
