,peopleNm,peopleNmEn,movieCd
0,왕가위,Kar-wai Wong,20040690
0,김기덕,KIM Ki-duk,20040688
0,권종관,KWON Jong-kwan,20040641
0,장윤현,CHANG Yoon-hyun,20040658
0,리차드 링클레이터,Richard Linklater,20040689
0,알레한드로 곤잘레스 이냐리투,Alejandro Gonzalez Inarritu,20040680
0,황정보,Ching-Po Wong,20040692
0,변혁,BYUN Daniel H.,20040671
0,길 정거,Gil Junger,20040695
0,게리 마샬,Garry Marshall,20040685
0,이재한,John H. LEE,20040673
0,알렉산더 윗,Alexander Witt,20040696
0,게리 위닉,Gary Winick,20040694
0,피터 첼섬,Peter Chelsom,20040698
0,피터 호윗,Peter Howitt,20040723
0,월터 살레스,Walter Salles,20040716
0,파티 아킨,Fatih Akin,20040712
0,로슨 마샬 터버,Rawson Marshall Thurber,20040708
0,장규성,JANG Kyu-sung,20040657
0,에릭 브레스,Eric Bress,20040700
1,J. 마키에 그러버,J. Mackye Gruber,20040700
0,레니 할린,Renny Harlin,20040731
0,이와이 슌지,Shunji Iwai,20040704
0,키넌 아이보리 웨이언스,Keenen Ivory Wayans,20040711
0,브라이언 드 팔마,Brian De Palma,20040732
0,닉 카사베츠,Nick Cassavetes,20040734
0,팀 스토리,Tim Story,20040720
0,이규형,LEE Kyu-hyung,20040738
0,김수현,KIM Soo-hyun,20040472
0,조지 시무라,Joji Shimura,20040739
1,안태근,AN Tae-kun,20040739
0,조셉 루벤,Joseph Ruben,20040715
0,오지명,OH Ji-myung,20040752
0,변영주,BYUN Young-joo,20040672
0,조엘 슈마허,Joel Schumacher,20040721
0,비번 키드론,Beeban Kidron,20040743
0,송해성,SONG Hae-sung,20040682
0,데이빗 S. 고이어,David S. Goyer,20040717
0,브래드 버드,Brad Bird,20040745
0,존 파브로,Jon Favreau,20040736
0,미야자키 하야오,Hayao Miyazaki,20040756
0,로버트 저메키스,Robert Zemeckis,20040748
0,오덕환,OH Duk-hwan,20040766
0,마이크 미첼,Mike Mitchell,20040746
0,올리버 스톤,Oliver Stone,20040706
0,존 터틀타웁,Jon Turteltaub,20040755
0,김도혁,KIM Do-hyuk,20040750
0,비키 젠슨,Vicky Jenson,20040744
1,롭 레터맨,Rob Letterman,20040744
0,스티븐 소더버그,Steven Soderbergh,20048103
0,정초신,ZEONG Cho-sin,20040774
0,주성치,Stephan Chiau,20040776
0,공정식,GONG Jung-sik,20040775
0,케리 코란,Kerry Conran,20040705
0,진목승,Benny Chan,20040790
0,롭 보우먼,,20040791
0,강우석,KANG Woo-suk,20040786
0,정윤철,CHUNG Yoon-chul,20040785
0,브래드 실버링,Brad Silberling,20040779
0,최석원,CHOI Suk-won,20050008
0,임상수,IM Sang-soo,20050007
0,마이크 니콜스,Mike Nichols,20040798
0,존 무어,John Moore,20040781
0,파브리지오 코스타,Fabrizio Costa,20040797
0,프란시스 로렌스,Francis Lawrence,20050010
0,오상훈,Oh Sang-hun,20050011
0,마틴 스코세이지,Martin Scorsese,20040749
0,김호준,KIM Ho-jun,20040793
0,김동빈,KIM Dongbin,20040771
0,알렉산더 페인,Alexander Payne,20050023
0,존 폴슨,John Polson,20050018
0,마크 포스터,Marc Forster,20050004
0,하워드 더치,Howard Deutch,20050016
0,테일러 핵포드,Taylor Hackford,20050012
0,크리스토퍼 파라티에,Christophe Barratier,20050027
0,추창민,CHOO Chang-min,20040778
0,클린트 이스트우드,Clint Eastwood,20050028
0,앤디 테넌트,Andy Tennant,20050033
0,제임스 완,James Wan,20050014
0,장 피에르 주네,Jean-Pierre Jeunet,20050041
0,이윤기,LEE Yoon-ki,20040751
0,박광춘,Park K.C,20050013
0,플로렝 에밀리오 시리,Florent Emilio Siri,20050037
0,도이 노부히로,Nobuhiro Doi,20050042
0,리차드 론크레인,Richard Loncraine,20040702
0,제이 러셀,Jay Russell,20040741
0,베르나르도 베르톨루치,Bernardo Bertolucci,20050009
0,류승완,RYOO Seungwan,20050049
0,김지운,KIM Jee-woon,20050017
0,존 파스킨,John Pasquin,20050048
0,츠지 하츠키,Tsuji Hatsuki,20050039
0,구성주,KOO Sung-zoo,20050029
0,필립 카우프만,Philip Kaufman,20040754
0,제프리 삭스,Geoffrey Sax,20050058
0,F. 게리 그레이,F. Gary Gray,20050030
0,박흥식,PARK Heung-sik,20040772
0,제이 로치,Jay Roach,20050034
0,드와이트 H. 리틀,Dwight H. Little,20040687
0,존 헤이,John Hay,20050060
0,시드니 폴락,Sydney Pollack,20050069
0,박영훈,PARK Younghoon,20050077
0,리 타마호리,Lee Tamahori,20050065
0,츠카모토 렌페이,Renpei Tsukamoto,20050072
0,김대승,KIM Dai-seung,20050076
0,리들리 스콧,Ridley Scott,20050078
0,대니 보일,Danny Boyle,20050074
0,다카하타 이사오,Isao Takahata,20050093
0,토머스 카터,Thomas Carter,20050061
0,빌 콘돈,Bill Condon,20050095
0,임필성,YIM Pil-sung,20050046
0,천세환,CHEON Se-hwan,20050083
0,자움 세라,Jaume Serra,20050101
0,나이젤 콜,Nigel Cole,20050092
0,팀 맥칸라이즈,Tim McCanlies,20050105
0,조지 루카스,George Lucas,20050085
0,임태형,LIM Tai-hyung,20050045
0,시미즈 다카시,Takashi Shimizu,20050087
0,그레그 마크스,Greg Marcks,20050117
0,나카타 히데오,Hideo Nakata,20050062
0,아담 쉥크만,Adam Shankman,20050126
0,정재은,JEONG Jae-eun,20050015
0,한재림,HAN Jae-rim,20050110
0,조명남,CHO Myeong-nam,20050064
0,더그 라이만,Doug Liman,20050113
0,마커스 니스펠,Marcus Nispel,20040638
0,크리스토퍼 놀란,Christopher Nolan,20050112
0,브렉 에이즈너,Breck Eisner,20050115
0,김용균,KIM Yong-gyun,20050135
0,프랭크 밀러,Frank Miller,20050084
1,쿠엔틴 타란티노,Quentin Tarantino,20050084
0,팍품 웡품,Parkpoom Wongpoom,20050129
0,앤드류 더글라스,Andrew Douglas,20050131
0,미켈란젤로 안토니오니,Michelangelo Antonioni,20050123
1,왕가위,Kar-wai Wong,20050123
2,스티븐 소더버그,Steven Soderbergh,20050123
0,스티븐 스필버그,Steven Spielberg,20050137
0,장-프랑소와 리셰,Jean-Francois Richet,20050130
0,에릭 다넬,Eric Darnell,20050140
1,톰 맥그라스,Tom McGrath,20050140
0,민준기,MIN Joon-ki,20050141
0,최익환,Equan CHOE,20050142
0,마이클 베이,Michael Bay,20050144
0,로버트 로드리게즈,Robert Rodriguez,20050147
0,박찬욱,PARK Chanwook,20050148
0,롭 코헨,Rob Cohen,20050179
0,카를로스 살다나,Carlos Saldanha,20050168
0,스테판 케이,,20050176
0,박광현,PARK Kwang-hyun,20050180
0,김준,KIM Jun,20040626
0,게리 채프먼,,20050154
0,장진,JANG Jin,20050178
0,팀 스토리,Tim Story,20050145
0,원신연,WON Shin-yun,20050160
0,넬슨 신,Nelson SHIN,20050163
0,뤽 자케,Luc Jacquet,20050181
0,오토모 가츠히로,Katsuhiro Otomo,20050143
0,이영은,LEE Young-eun,20050189
0,프라챠 핀카엡,Prachya Pinkaew,20050186
0,이우철,LEE Woo-chul,20050190
0,안젤라 로빈슨,Angela Robinson,20050165
0,브렛 래트너,Brett Ratner,20050185
0,노라 에프론,Nora Ephron,20050205
0,폴 웨이츠,Paul Weitz,20050198
0,크리스 켄티스,Chris Kentis,20050191
0,이안 소프틀리,Iain Softley,20050182
0,올리비에 다한,Olivier Dahan,20050207
0,케빈 로드니 설리반,Kevin Rodney Sullivan,20050108
0,이명세,LEE Myungse,20050216
0,조지 A. 로메로,George A. Romero,20050218
0,정용기,JEONG Yong-ki,20050219
0,허진호,HUR Jinho,20050220
0,웨스 크레이븐,Wes Craven,20050221
0,론 하워드,Ron Howard,20050222
0,팀 버튼,Tim Burton,20050225
0,루이스 리테리어,Louis Leterrier,20050164
0,박진표,PARK Jin-pyo,20050239
0,손희창,SON  Hee-chang,20050233
0,유선동,,20050237
0,서극,Hark Tsui,20050238
0,정지우,JUNG Ji-woo,20050245
0,스티븐 힐렌버그,Stephen Hillenburg,20050228
0,민규동,MIN Kyu-dong,20050232
0,바비 패럴리,Bobby Farrelly,20050249
1,피터 패럴리,Peter Farrelly,20050249
0,당계례,Stanley Tong,20050258
0,폴 맥기건,Paul McGuigan,20050250
0,존 싱글톤,John Singleton,20050229
0,권종관,KWON Jong-kwan,20050256
0,브루스 헌트,Bruce Hunt,20050257
0,마이클 래드포드,Michael Radford,20050152
0,루이스 리테리어,Louis Leterrier,20050259
0,이계벽,LEE Gae-byok,20050261
0,방은진,PANG Eun-jin,20050271
0,마틴 캠벨,Martin Campbell,20050263
0,로버트 루게틱,,20050254
0,팀 버튼,Tim Burton,20050253
1,마이크 존슨,Mike Johnson,20050253
0,박흥식,PARK Heung-sik,20050276
0,닉 파크,Nick Park,20050278
1,스티브 박스,Steve Box,20050278
0,주드 아패토우,Judd Apatow,20050277
0,마크 포스터,Marc Forster,20050275
0,최진원,CHOI Jin-won,20050280
0,로베르트 슈벤트케,Robert Schwentke,20050255
0,윤태용,YOON Tae-yong,20050283
0,미셸 공드리,Michel Gondry,20050082
0,테리 길리엄,Terry Gilliam,20050291
0,김영준,KIM Young-jun,20050288
0,앤드류 니콜,Andrew Niccol,20050290
0,카메론 크로우,Cameron Crowe,20050289
0,김현석,KIM Hyun-suk,20050292
0,황병국,HWANG Byeong-gug,20050305
0,미나모토 타카시,Takashi Minamoto,20050284
0,마이크 뉴웰,Mike Newell,20050310
0,임경수,LIM Kyoung-soo,20050318
0,마크 S. 워터스,Mark S. Waters,20050319
0,안드레이 바르코비악,Andrzej Bartkowiak,20050320
0,벤 영거,Ben Younger,20050322
0,김태은,KIM Tae-eun,20050306
0,오석근,OH Seok-geun,20050323
0,곽경택,KWAK Kyung-taek,20050326
0,피터 잭슨,Peter Jackson,20050324
0,토마스 베주차,Thomas Bezucha,20050331
0,오기환,OH Ki-hwan,20050330
0,전윤수,JEON Yun-su,20050332
0,짐 자무시,Jim Jarmusch,20050321
0,이준익,LEE Joonik,20050333
0,앤드류 아담슨,Andrew Adamson,20050338
0,윤종찬,YOON Jong-chan,20050342
0,신한솔,SHIN Han-sol,20050346
0,진가신,Peter Chan,20050353
1,진가상,Gordon Chan,20050353
0,김성수,KIM Sung-soo,20050345
0,커티스 핸슨,Curtis Hanson,20050352
0,맷 체코스키,Matt Checkowski,20060010
1,커트 마틸라,Kurt Mattila,20060010
0,김동원,KIM Dong-won,20050363
0,양윤호,YANG Yun-ho,20050349
0,장 자끄 아노,Jean-Jacques Annaud,20050361
0,첸 카이거,Kaige Chen,20050359
0,추창민,CHOO Chang-min,20050354
0,마크 딘달,Mark Dindal,20050364
0,롭 마샬,Rob Marshall,20050362
0,커크 존스,Kirk Jones,20050360
0,이시명,LEE Si-myung,20060017
0,스티븐 스필버그,Steven Spielberg,20060016
1,크리스토프 데아크,Christoph Deak,20060016
0,김태균,KIM Tae-kyun,20060015
0,스기이 기사부로,Gisaburo Sugii,20060022
0,김정우,KIM Jung-woo,20060019
0,대런 린 보우즈만,Darren Lynn Bousman,20050351
0,리차드 론크레인,Richard Loncraine,20060024
0,김대우,KIM Dae-woo,20050355
0,렌 와이즈먼,Len Wiseman,20060031
0,오기현,OH Kee-hyun,20060025
0,데이빗 돕킨,David Dobkin,20060038
0,이안,Ang Lee,20060040
0,유위강,LAU Andrew,20050350
0,제임스 맨골드,James Mangold,20060042
0,라세 할스트롬,Lasse Hallstrom,20060026
0,이하,iiHa,20050344
0,이석훈,LEE Seok-hoon,20060046
0,제임스 맥티그,James McTeigue,20060048
0,문승욱,MOON Seungwook,20060047
0,이한,LEE Han,20060051
0,조 라이트,Joe Wright,20060033
0,우인태,Ronny Yu,20060050
0,야구치 시노부,Shinobu Yaguchi,20060045
0,딘 패리소트,Dean Parisot,20060057
0,프레드 올렌 레이,Fred Olen Ray,20060056
1,마이클 카튼-존스,Michael Caton-Jones,20060056
0,권남기,KWON Nam-gi,20050308
0,스티븐 개건,Stephen Gaghan,20060067
0,오타니 겐타로,,20060064
0,손재곤,SON Jae-gon,20060068
0,토니 리치,Tony Leech,20060018
1,코리 에드워즈,Cory Edwards,20060018
2,토드 에드워즈,Todd Edwards,20060018
0,폴 해기스,Paul Haggis,20060073
0,데이비드 J. 버크,David J. Burke,20060076
0,톰 듀이,Tom Dey,20060075
0,아톰 에고이안,Atom Egoyan,20060037
0,존 개틴스,John Gatins,20060080
0,스콧 데릭슨,Scott Derrickson,20060052
0,김성중,KIM Seong-jung,20060077
0,우디 알렌,Woody Allen,20060082
0,우다 코우노스케,,20060299
0,리차드 도너,Richard Donner,20060089
0,스파이크 리,Spike Lee,20060087
0,카를로스 살다나,Carlos Saldanha,20060090
0,송창수,SONG Chang-soo,20060088
0,데이빗 모로,David Moreau,20060091
1,자비에 팔뤼,Xavier Palud,20060091
0,최호,CHOI Ho,20060100
0,권수경,KWON Soo-kyung,20060005
0,강지은,KANG Ji-eun,20060085
0,J.J. 에이브럼스,Jeffrey Jacob Abrams,20060107
0,안판석,AHN Pan-suk,20060093
0,사토 준이치,Junichi Sato,20060119
0,미셸 오슬로,Michel Ocelot,20060084
1,베네딕트 갈룹,Benedicte Galup,20060084
0,제임스 왕,James Wong,20060113
0,공정식,GONG Jung-sik,20060112
0,제롬 샬레,Jerome Salle,20060121
0,론 하워드,Ron Howard,20060117
0,김태용,KIM Tae-yong,20060123
0,류승완,RYOO Seungwan,20060134
0,권형진,KWON Hyung-jin,20060124
0,김동욱,KIM Dong-uk,20060125
0,도날드 페트리,Donald Petrie,20060126
0,볼프강 페터젠,Wolfgang Petersen,20060129
0,팀 존슨,Tim Johnson,20060130
1,캐리 커크패트릭,Karey Kirkpatrick,20060130
0,이항배,YI Hang-pae,20060135
0,원신연,WON Shin-yun,20060070
0,시미즈 다카시,Takashi Shimizu,20060161
0,존 무어,John Moore,20060152
0,웨인 크라머,Wayne Kramer,20060145
0,브렛 래트너,Brett Ratner,20060136
0,유하,YOO Ha,20060137
0,크리스토퍼 스미스,Christopher Smith,20060144
1,시미즈 다카시,Takashi Shimizu,20060144
0,조민호,JOE Min-ho,20060138
0,아소 마나부,Manabu Aso,20060164
0,폴 맥기건,Paul McGuigan,20060156
0,캐린 쿠사마,Karyn Kusama,20060155
0,에스펜 샌버그,Espen Sandberg,20060179
1,조아킴 로엔닝,Joachim Roenning,20060179
0,브라이언 싱어,Bryan Singer,20060148
0,안상훈,AHN Sang-hoon,20060157
0,조범진,JOE Bum-jin,20050313
0,크레이그 로젠버그,Craig Rosenberg,20060139
0,고어 버빈스키,Gore Verbinski,20060146
0,안병기,AN Byung-ki,20060160
0,베이커 하워드 E.,Baker Hward E.,20060180
1,폭스 존,FOX John,20060180
2,이경호,LEE Kyung-ho,20060180
0,강우석,KANG Woo-suk,20060147
0,티에리 피안타니다,Thierry Piantanida,20060196
1,티에리 라고베르트,Thierry Ragobert,20060196
0,존 라세터,John Lasseter,20060149
0,저스틴 린,Justin Lin,20060173
0,커트 위머,Kurt Wimmer,20060193
0,유야마 쿠니히코,Kunihiko Yuyama,20060204
0,정종훈,JUNG Jong-hun,20060207
0,봉준호,BONG Joon-ho,20060151
0,후루사와 다케시,Takeshi Furusawa,20060202
0,팀 힐,Tim Hill,20060194
0,권호영,GWON Ho-young,20060208
0,임대웅,LIM Dae-woong,20060210
0,최종태,CHOI Jong-tae,20060191
0,김은경,KIM Eun-kyung,20060227
0,길 키넌,Gil Kenan,20060197
0,이환경,LEE Hwan-kyung,20060214
0,이재용,E J-yong,20060218
0,미야자키 고로,Miyazaki Goro,20060212
0,봉만대,BONG Man-dae,20060224
0,마이클 만,Michael Mann,20060219
0,곽지균,KWAK Ji-kyoon,20060220
0,이반 라이트만,Ivan Reitman,20060223
0,니시카와 미와,Nishikawa Miwa,20060185
0,박철희,PARK Chul-hee,20060225
0,여인광,YEO In-gwang,20060229
0,권성국,KWON Sung-kook,20060245
0,피에르 모렐,Pierre Morel,20060240
0,히구치 신지,Shinji Higuchi,20060241
0,이해준,LEE Hae-jun,20060222
1,이해영,LEE Hae-young,20060222
0,홍상수,HONG Sang-soo,20060247
0,알레한드로 아그레스티,Alejandro Agresti,20060140
0,김해곤,KIM Hae-gon,20060242
0,조범구,JO Bum-gu,20060231
0,클락 존슨,Clark Johnson,20060232
0,폴 그린그래스,Paul Greengrass,20060233
0,무라카미 마사노리,Masanori Murakami,20060177
0,송해성,SONG Hae-sung,20060244
0,김태경,KIM Tae-kyung,20060234
0,정용기,JEONG Yong-ki,20060257
0,펑샤오강,Xiaogang Feng,20060258
0,이형선,LEE Hyung-sun,20060276
0,페드로 알모도바르,Pedro Almodovar,20060250
0,최동훈,CHOI Dong-hoon,20060277
0,이준익,LEE Joonik,20060284
0,안진우,AHN Jin-woo,20060291
0,진목승,Benny Chan,20060259
0,이형곤,LEE Hyung-gon,20060272
0,존 A. 데이비스,John A. Davis,20060237
0,올리버 스톤,Oliver Stone,20060262
0,M. 나이트 샤말란,M. Night Shyamalan,20060215
0,장진,JANG Jin,20060292
0,원규,Corey Yuen,20060278
0,데이빗 프랭클,David Frankel,20060264
0,박기형,PARK Ki-hyung,20060236
0,박은형,PARK Eun-hyung,20060279
1,오달균,OH Dal-kyun,20060279
0,김대승,KIM Dai-seung,20060288
0,카네코 슈스케,Shusuke Kaneko,20060301
0,김태윤,KIM Tae-yun,20060280
0,크리스토퍼 놀란,Christopher Nolan,20060340
0,앤드류 데이비스,Andrew Davis,20060281
0,이철하,LEE Cheol-ha,20060316
0,이정범,LEE Jeong-beom,20060261
0,크리스토프 갱스,Christophe Gans,20060192
0,김성훈,KIM Seong-hun,20060283
0,김유성,KIM Yu-sung,20060352
0,리들리 스콧,Ridley Scott,20060311
0,시미즈 다카시,Takashi Shimizu,20060310
0,강석범,KANG Suk-bum,20060353
0,마틴 스코세이지,Martin Scorsese,20060337
0,샘 펠,Sam Fell,20060315
1,데이빗 보워스,David Bowers,20060315
2,데이비드 보,,20060315
0,앤 플레쳐,Anne Fletcher,20060334
0,길예르모 델 토로,Guillermo Del Toro,20060347
0,대런 린 보우즈만,Darren Lynn Bousman,20060354
0,조근식,JOH Gun-shik,20060338
0,변승욱,BYUN Seung-wook,20060339
0,박찬욱,PARK Chanwook,20060356
0,김상우,,20060369
0,로저 컴블,Roger Kumble,20060364
0,김용화,KIM Yong-hwa,20060387
0,낸시 마이어스,Nancy Meyers,20060348
0,조의석,CHO Ui-seok,20060373
0,헨리 셀릭,Henry Selick,20060351
0,숀 레비,Shawn Levy,20060319
0,조동오,CHO Dong-oh,20060370
0,마틴 캠벨,Martin Campbell,20060358
0,조지 밀러,George Miller,20060318
1,주디 모리스,Judy Morris,20060318
0,김석윤,KIM Sok-yun,20060396
0,캐서린 하드윅,Catherine Hardwicke,20060388
0,미셸 공드리,Michel Gondry,20060365
0,조진규,JO Jinkyu,20060357
0,조나단 데이턴,Jonathan Dayton,20060392
1,발레리 페리스,Valerie Faris,20060392
0,로저 알러스,Roger Allers,20060383
0,김창래,KIM Chang-lae,20060403
0,임상수,IM Sang-soo,20060389
0,스테판 팡메이어,Stefen Fangmeier,20060345
0,허인무,HUH In-moo,20060412
0,카네코 슈스케,Shusuke Kaneko,20060405
0,토니 스콧,Tony Scott,20060390
0,장지량,Jacob Chang,20060391
0,에드워드 즈윅,Edward Zwick,20060413
0,이상훈,LEE Sang-hoon,20060407
0,스티브 오데커크,Steve Oedekerk,20070005
0,김정우,KIM Jung-woo,20060417
0,장예모,Yimou Zhang,20060410
0,이성강,LEE Sung-gang,20060408
0,크리스 누난,Chris Noonan,20060409
0,박진표,PARK Jin-pyo,20070015
0,프랭크 코라치,Frank Coraci,20060397
0,멜 깁슨,Mel Gibson,20060419
0,장문일,JANG Moon-il,20060421
0,박성균,PARK Sung-kun,20070021
0,게리 위닉,Gary Winick,20060375
0,윤제균,JK YOUN,20070014
0,김현수,KIM Hyun-soo,20070020
1,김상찬,KIM Sang-chan,20070020
0,가버 추보,Gabor Csupo,20060422
0,클린트 이스트우드,Clint Eastwood,20070013
0,실베스터 스탤론,Sylvester Stallone,20060398
0,스티븐 프리어스,Stephen Frears,20070028
0,빌 콘돈,Bill Condon,20060423
0,최성철,CHOI Seong Cheol,20070010
0,알레한드로 곤잘레스 이냐리투,Alejandro Gonzalez Inarritu,20070009
0,조나단 리브스만,Jonathan Liebesman,20070041
0,마크 로렌스,Marc Lawrence,20070034
0,가브리엘 무치노,Gabriele Muccino,20060430
0,정윤철,CHUNG Yoon-chul,20070042
0,피터 웨버,Peter Webber,20070025
0,닐 버거,Neil Burger,20070036
0,조 카나한,Joe Carnahan,20070043
0,잭 스나이더,Zack Snyder,20070033
0,박정우,PARK JOUNG WOO,20060420
0,존 커랜,John Curran,20070037
0,마이클 맥고완,Michael Mcgowan,20070044
0,톰 티크베어,Tom Tykwer,20070083
0,조엘 슈마허,Joel Schumacher,20070071
0,최양일,CHOI Yang-il,20070066
0,페이튼 리드,Peyton Reed,20060282
0,임아론,Lim Aa-ron,20070102
0,장규성,JANG Kyu-sung,20070084
0,진광교,JIN Kwang-gyo,20070047
0,폴 버호벤,Paul Verhoeven,20070029
0,한재림,HAN Jae-rim,20070072
0,마이클 레만,Michael Lehmann,20070108
0,제라르 피레,Gerard Pires,20070050
