,genreNm,movieCd
1,공포(호러),20175405
2,SF,20175405
0,공포(호러),20201687
1,스릴러,20201687
0,액션,20202203
1,범죄,20202203
2,드라마,20202203
0,드라마,20199302
0,어드벤처,20193822
1,드라마,20193822
2,가족,20193822
0,액션,20202103
1,범죄,20202103
2,드라마,20202103
0,드라마,20205001
0,액션,20178401
0,스릴러,20190601
1,미스터리,20190601
0,다큐멘터리,20204684
0,전쟁,20202341
1,드라마,20202341
0,애니메이션,20206178
0,드라마,20199816
0,코미디,20184482
1,액션,20184482
0,액션,20204008
1,스릴러,20204008
0,코미디,20190621
1,스릴러,20190621
0,애니메이션,20206062
0,공연,20206826
0,애니메이션,20206588
1,액션,20206588
0,드라마,20208045
1,액션,20208045
0,스릴러,20202684
1,범죄,20202684
0,멜로/로맨스,20202502
1,드라마,20202502
0,코미디,20206362
1,드라마,20206362
0,범죄,20194424
1,드라마,20194424
0,범죄,20183583
1,드라마,20183583
0,애니메이션,20208393
0,드라마,20181162
0,드라마,20197121
0,공연,20208508
0,애니메이션,20203842
1,액션,20203842
2,판타지,20203842
0,애니메이션,20192271
1,판타지,20192271
2,어드벤처,20192271
0,공포(호러),20200145
0,액션,20209005
0,공포(호러),20209466
0,드라마,20145141
0,액션,20209304
0,드라마,20205980
0,범죄,20192193
0,멜로/로맨스,20040734
0,범죄,20202601
1,스릴러,20202601
2,드라마,20202601
0,드라마,20190582
0,애니메이션,20206547
1,드라마,20206547
2,판타지,20206547
0,애니메이션,20208448
1,뮤지컬,20208448
2,어드벤처,20208448
0,드라마,20204432
1,코미디,20204432
0,액션,20209370
0,미스터리,20200294
1,스릴러,20200294
0,애니메이션,20200200
0,액션,20209650
0,드라마,20208961
0,드라마,20181983
1,코미디,20181983
0,코미디,20201123
1,공포(호러),20201123
0,다큐멘터리,20209771
1,드라마,20209771
0,코미디,20200554
1,뮤지컬,20200554
0,드라마,20206710
0,드라마,20197853
1,가족,20197853
0,SF,20149120
0,액션,20164621
1,드라마,20164621
2,스릴러,20164621
3,전쟁,20164621
0,멜로/로맨스,20201002
1,드라마,20201002
0,전쟁,20202366
1,액션,20202366
0,드라마,20200883
1,판타지,20200883
2,SF,20200883
0,멜로/로맨스,20030404
1,드라마,20030404
2,코미디,20030404
0,드라마,20201174
0,드라마,20200936
1,뮤지컬,20200936
0,드라마,20205216
0,액션,20192567
1,어드벤처,20192567
0,드라마,20040725
1,멜로/로맨스,20040725
0,애니메이션,20202128
0,가족,20202368
1,드라마,20202368
0,멜로/로맨스,20209538
1,드라마,20209538
0,액션,20202703
0,스릴러,20202647
0,애니메이션,20202130
0,드라마,20081445
0,드라마,20200512
1,스릴러,20200512
0,드라마,20202931
0,드라마,20182674
0,드라마,20198056
1,멜로/로맨스,20198056
0,멜로/로맨스,20197277
1,코미디,20197277
0,드라마,20078386
1,멜로/로맨스,20078386
0,서부극(웨스턴),19910182
1,드라마,19910182
0,멜로/로맨스,20203689
1,코미디,20203689
0,애니메이션,20207443
0,애니메이션,20200703
0,공포(호러),20202540
1,미스터리,20202540
0,드라마,20202924
0,판타지,20204504
1,공포(호러),20204504
0,드라마,20209926
0,애니메이션,20201649
0,코미디,20201022
0,드라마,20198053
0,드라마,20150942
0,다큐멘터리,20215041
0,공포(호러),20204628
1,범죄,20204628
2,스릴러,20204628
0,액션,20215301
1,범죄,20215301
2,드라마,20215301
0,드라마,20080269
1,멜로/로맨스,20080269
0,가족,20204333
1,드라마,20204333
0,애니메이션,20202792
0,드라마,20200472
1,코미디,20200472
2,멜로/로맨스,20200472
0,멜로/로맨스,20190323
1,코미디,20190323
0,액션,20214981
1,어드벤처,20214981
0,액션,20050310
1,판타지,20050310
0,드라마,20209627
0,공연,20215810
0,애니메이션,20203009
1,어드벤처,20203009
2,가족,20203009
3,판타지,20203009
0,코미디,20199541
1,액션,20199541
0,범죄,20214848
1,스릴러,20214848
0,드라마,20200311
0,미스터리,20202812
1,스릴러,20202812
0,어드벤처,20215843
0,애니메이션,20202555
0,드라마,20198663
1,범죄,20198663
0,코미디,20209013
0,드라마,20215221
0,멜로/로맨스,20215862
0,드라마,20205144
0,애니메이션,20200263
1,액션,20200263
2,어드벤처,20200263
0,드라마,20071054
0,공연,20216555
0,액션,20216051
0,드라마,20010083
0,액션,20216022
1,어드벤처,20216022
2,범죄,20216022
0,스릴러,20215056
1,공포(호러),20215056
2,범죄,20215056
0,스릴러,20216069
1,드라마,20216069
0,액션,20020234
1,어드벤처,20020234
2,판타지,20020234
0,판타지,20030316
1,어드벤처,20030316
0,공연,20216768
0,액션,20216361
0,액션,20215850
0,드라마,20216673
0,공포(호러),20216432
1,스릴러,20216432
0,드라마,20216372
0,사극,20197434
1,드라마,20197434
0,애니메이션,20205155
0,드라마,20190683
0,멜로/로맨스,20214847
0,액션,20216492
1,코미디,20216492
0,액션,20216523
1,어드벤처,20216523
2,판타지,20216523
0,드라마,20200065
0,스릴러,20124134
0,드라마,20215803
0,드라마,20183003
1,액션,20183003
0,애니메이션,20216710
0,드라마,20199630
0,드라마,20215046
0,미스터리,20194501
1,스릴러,20194501
0,드라마,20193068
1,멜로/로맨스,20193068
0,스릴러,20216703
0,애니메이션,20216908
1,액션,20216908
2,어드벤처,20216908
0,액션,20217278
0,애니메이션,20202585
1,코미디,20202585
2,어드벤처,20202585
0,범죄,20217551
1,스릴러,20217551
0,애니메이션,20217174
0,스릴러,20217484
0,드라마,20214763
0,드라마,20200524
1,스릴러,20200524
0,액션,20205041
0,애니메이션,20217478
0,드라마,20200295
0,드라마,20216362
1,범죄,20216362
2,코미디,20216362
0,범죄,20194461
0,애니메이션,20217573
1,판타지,20217573
0,SF,20217500
1,어드벤처,20217500
2,스릴러,20217500
0,멜로/로맨스,20010241
1,코미디,20010241
0,공포(호러),20217736
1,미스터리,20217736
2,스릴러,20217736
0,드라마,20216083
1,미스터리,20216083
2,스릴러,20216083
0,애니메이션,20217707
0,드라마,20217121
0,액션,20217651
0,애니메이션,20217692
0,스릴러,20204261
0,드라마,20202477
1,스릴러,20202477
0,애니메이션,20216685
1,어드벤처,20216685
2,코미디,20216685
0,미스터리,20218240
1,공포(호러),20218240
0,액션,20217950
1,코미디,20217950
2,범죄,20217950
0,드라마,20216581
1,멜로/로맨스,20216581
0,스릴러,20192696
1,액션,20192696
0,뮤지컬,20204790
1,드라마,20204790
0,스릴러,20198161
0,액션,20218006
1,스릴러,20218006
0,공포(호러),20218345
0,액션,20191951
1,어드벤처,20191951
2,SF,20191951
0,공포(호러),20218364
1,스릴러,20218364
2,드라마,20218364
0,기타,20218827
0,액션,20218348
1,공포(호러),20218348
2,스릴러,20218348
0,애니메이션,20217490
1,어드벤처,20217490
2,코미디,20217490
0,멜로/로맨스,20218333
0,멜로/로맨스,20217024
1,드라마,20217024
0,애니메이션,20218391
1,코미디,20218391
2,어드벤처,20218391
0,스릴러,20218567
0,애니메이션,20218420
0,공포(호러),20200237
0,액션,20204117
1,드라마,20204117
0,액션,20218349
1,어드벤처,20218349
0,미스터리,20202185
1,스릴러,20202185
0,액션,20217845
1,어드벤처,20217845
2,판타지,20217845
3,미스터리,20217845
4,SF,20217845
0,애니메이션,20218875
1,어드벤처,20218875
0,어드벤처,20218834
1,드라마,20218834
2,판타지,20218834
0,공연,20218815
0,코미디,20196270
0,액션,20192986
1,어드벤처,20192986
0,액션,20192194
1,스릴러,20192194
0,애니메이션,20193385
0,공포(호러),20218392
1,스릴러,20218392
0,애니메이션,20219381
0,코미디,20216050
1,판타지,20216050
2,미스터리,20216050
0,미스터리,20218653
1,스릴러,20218653
2,공포(호러),20218653
0,SF,20218985
1,미스터리,20218985
2,멜로/로맨스,20218985
0,코미디,20219331
1,멜로/로맨스,20219331
0,애니메이션,20218949
0,액션,20217742
1,어드벤처,20217742
2,판타지,20217742
0,공포(호러),20219822
1,스릴러,20219822
0,드라마,20218904
0,애니메이션,20161872
1,드라마,20161872
2,멜로/로맨스,20161872
0,액션,20219185
0,범죄,20190815
1,액션,20190815
0,드라마,20200474
0,애니메이션,20216801
0,애니메이션,20218604
0,가족,20010291
1,판타지,20010291
0,스릴러,20219311
1,미스터리,20219311
0,미스터리,20219770
1,공포(호러),20219770
0,공연,20210250
0,액션,20191061
0,애니메이션,20219826
1,어드벤처,20219826
2,드라마,20219826
0,스릴러,20218758
0,SF,20139221
1,드라마,20139221
0,범죄,20210142
1,드라마,20210142
2,스릴러,20210142
0,액션,20218052
1,SF,20218052
2,스릴러,20218052
0,다큐멘터리,20203824
0,드라마,20200302
0,애니메이션,20210304
1,어드벤처,20210304
0,SF,20210087
0,액션,20219115
1,스릴러,20219115
0,애니메이션,20210853
0,애니메이션,20210865
