,peopleNm,peopleNmEn,cast,castEn,movieCd
25,조진결,,내금위장,,20184571
26,김형묵,,도사,,20184571
27,설도희,,사헌부 감찰,,20184571
28,강한샘,,서운관 주부,,20184571
29,김동현,,정남손 집사,,20184571
30,오세영,,김담,,20184571
31,강성하,,이원,,20184571
32,김준범,,정탁,,20184571
33,최일순,,어의,,20184571
34,오희준,OH Hee-jun,젊은내관,,20184571
35,배제기,BAE Jae-ki,어명병사,,20184571
36,배준수,,역군1,,20184571
37,조원재,,역군2,,20184571
38,김진희,,조선공녀,,20184571
39,이승훈,,이천집사,,20184571
40,오지영,,정남손부인,,20184571
41,김현창,,명사신단,,20184571
42,황진호,,명사신단,,20184571
43,성레이,,통역 명사신단,,20184571
44,이한성,,황희파 대신들,,20184571
45,송용환,,황희파 대신들,,20184571
46,황영수,,황희파 대신들,,20184571
47,홍현종,,황희파 대신들,,20184571
48,김용식,,세종파 대신들,,20184571
49,최순영,,세종파 대신들,,20184571
50,노현욱,,세종파 대신들,,20184571
51,박문재,,세종파 대신들,,20184571
52,정민,,내금위장,,20184571
53,조준혁,,내금위장,,20184571
54,유재윤,,내금위장,,20184571
55,김길중,,내금위장,,20184571
56,허도행,,내금위장,,20184571
57,이광식,LEE Gwang-sik,내관,,20184571
58,윤동주,,내관,,20184571
59,김세정,KIM SE JUNG,내관,,20184571
60,김용,,내관,,20184571
61,김홍기,,내관,,20184571
62,배재완,,과거내관,,20184571
63,김시우,,과거내관,,20184571
64,임소현,,궁녀,,20184571
65,한희림,,궁녀,,20184571
66,문가희,,궁녀,,20184571
67,이서연,,궁녀,,20184571
68,김현선,,과거궁녀,,20184571
69,왕나경,,과거궁녀,,20184571
70,최진주,,공녀,,20184571
71,정보람,,공녀,,20184571
72,이나라,,공녀,,20184571
73,홍달표,HONG Dal-pyo,방패군 장수,,20184571
74,문정혁,,사헌부 병사,,20184571
75,이용호,,사헌부 병사,,20184571
76,안세진,,사헌부 병사,,20184571
77,김흥태,,북치는 병사,,20184571
78,이해만,,병사,,20184571
79,노승천,,병사,,20184571
80,김태응,,나장,,20184571
81,최태호,,이천대역,,20184571
82,이현일,,책 읽는 유생,,20184571
83,김유진,KIM Yu-jin,명관리,,20184571
84,이승호,,명관리,,20184571
85,이한형,,서운관 관리,,20184571
86,박민규,,서운관 관리,,20184571
87,김경준,,안여꾼,,20184571
88,김용운,,안여꾼,,20184571
89,전동현,,안여꾼,,20184571
90,김학준,,방패군,,20184571
91,남준우,,방패군,,20184571
92,박기명,,방패군,,20184571
93,김영모,,방패군,,20184571
94,김민서,,방패군,,20184571
95,임정환,,방패군,,20184571
96,송재현,,방패군,,20184571
97,이시검,,방패군,,20184571
98,주민준,,방패군,,20184571
99,김기영,,방패군,,20184571
100,김학충,,방패군,,20184571
101,박규상,,의금부 병사,,20184571
102,이한솔,,통역관,,20184571
0,에드 스크레인,Ed Skrein,,,20196272
1,패트릭 윌슨,Patrick Wilson,,,20196272
2,우디 해럴슨,Woody Harrelson,,,20196272
3,루크 에반스,Luke Evans,,,20196272
4,아사노 타다노부,Tadanobu Asano,,,20196272
5,닉 조나스,Nick Jonas,,,20196272
0,마동석,Don LEE,거석이형,,20198414
1,박정민,Park Jeongmin,고택일,,20198414
2,정해인,JUNG Hae-in,우상필,,20198414
3,염정아,YUM Jung-ah,윤정혜,,20198414
4,최성은,CHOI Sung-eun,소경주,,20198414
5,김종수,KIM Jong-soo,공사장,,20198414
6,윤경호,YUN Gyeong-ho,김동화,,20198414
7,김경덕,KIM Kyung-duk,배구만,,20198414
8,고두심,KO Doo-shim,상필할머니,,20198414
9,박해준,PARK Hae-joon,태성,,20198414
10,김민재,KIM Min-jae,곽성무,,20198414
11,이해운,LEE Hae-woon,문성현,,20198414
12,성혁,SUNG Hyuk,강대천,,20198414
13,손석배,SON Seok-bae,식육점주인,,20198414
14,홍인,HONG In,박두만,,20198414
15,이수빈,LEE Su-bin,박다미,,20198414
16,방은정,BANG Eun-jung,김고은,,20198414
17,허준석,HEO Jun-seok,동대문,,20198414
18,김미화,KIM Mi-hwa,해장국집아줌마,,20198414
19,조재영,JOE Jae-young,도박남,,20198414
20,김대곤,KIM Dae-gon,경찰1,,20198414
21,강덕중,KANG Deok-jung,경찰2,,20198414
22,박성일,PARK Sung-il,용역직원,,20198414
23,백주희,BACK Joo-hee,매표소직원,,20198414
24,김자영,KIM Ja-young,청소아줌마,,20198414
25,류성현,RYU Seong-hyeon,횟집사장,,20198414
26,권혁범,KWON Hyuk-beom,석구,,20198414
27,정의욱,JEONG Eui-wook,청량리,,20198414
28,유수빈,YOO Su-bin,말년병장,,20198414
29,조대희,CHO Dae-hee,오형사,,20198414
30,차우진,CHA Woo-jin,강형사,,20198414
31,조한준,JO Han-jun,콜뛰기1,,20198414
32,이태형,LEE Tae-hyeong,콜뛰기2,,20198414
33,승의열,SEUNG Ui -yeol,요리사,,20198414
34,류제승,RYU Je-seung,관장,,20198414
35,임성재,LIM Sung-jae,이대팔,,20198414
36,김원목,KIM Won-mok,똘마니,,20198414
37,곽수정,KWAK Soo-jung,모텔주인,,20198414
38,이문석,LEE Moon-suk,변태남,,20198414
39,정병두,JEONG Byeong-du,찜질남,,20198414
40,서문호,SEO Moon-ho,문지기,,20198414
41,강태수,KANG Tae-soo,수산물센터청년,,20198414
42,박원준,PARK Won-jun,막내건달,,20198414
43,이육헌,LEE Yuk-heon,경찰들,,20198414
44,김시원,KIM Si-won,경찰들,,20198414
45,김통령,,건달들,,20198414
46,하재열,,건달들,,20198414
47,최현종,CHOI Hyun-jong,건달들,,20198414
